en,de
Vanilla,Vanilla
Mod Gallery,Mod Galerie
Storage Usage,Speicherplatz
Settings,Einstellungen
,
Played for {time} {unit}.,{time} {unit} gespielt.
minute,Minute
minutes,Minuten
hour,Stunde
hours,Stunden
Played for a few seconds.,Für ein paar Sekunden gespielt.
Never played.,Nie gespielt.
Subscribe for updates,Für Updates abonnieren
Install,Installieren
Uninstall,Deinstallieren
Launch,Starten
Browse files,Dateien durchsuchen
Never updated,Noch nie aktualisiert
Loading...,Laden...
Closing game...,Schlussspiel...
Based on version {version}.,Basierend auf Version {version}.
Kill process,Kill-Prozess
No data!,Keine Daten!
Anonymous,Anonym
,
Search:,Suchen:
Mod name...,Mod Name:
Sort:,Sortieren:
Alphabetically,Alphabetisch
By most played,Zuletzt gespielt
By recently updated,Zuletzt aktualisiert
Only installed,Nur installierte Mods
Only favourites,Nur Favorisierte Mods
No results!,Keine Ergebnisse!
[center][img]res://audiovisual/search-delete.png[/img]    Try resetting the filters above...,[center][img]res://audiovisual/search-delete.png[/img]    Versuche die Filter oben zurückzusetzen ...
,
{count} install,{count} installierte Mod
{count} installs,{count} installierte Mods
Find in gallery,In der Galerie anzeigen
,
"A simple way to keep your mods organized and up to date.

[color=#ffffff8b]by vlco_o - aka vic[/color]","Eine einfache Möglichkeit, deine Mods zu organisieren und auf dem neuesten Stand zu halten.

[color=#ffffff8b]von vlco_o – aka vic[/color]"
by {name},nach {name}
Use list view for mod gallery,Listenansicht
Show all platforms,Alle plattformen anzeigen
Auto subscribe to updates,Automatisch für aktualisierungen abonnieren
Theme colour,Farbe
Open last viewed tab on restart,Beim Neustart den zuletzt angezeigten Tab öffnen
Discord Game Activity (auto),Discord-Spiel-Aktivität (automatisch)
Hide window when launching a mod,Fenster minimieren wenn eine Mod gestartet wird
'Vanilla' tab,'Vanilla' Tab
[No change],[Keine Änderungen]
Choose mod...,Mod aussuchen...
Advanced,Erweitert
Install location,Installationspfad
Choose folder...,Ordner aussuchen...
Extra args for {extension},zusätzliche Argumente für {extension}
Troubleshooting,Problembehandlung
Refresh DB,Datenbank erneut herunterladen
Uninstall all mods,Alle Mods deinstallieren
Show logs,Protokolle anzeigen
Fix vanilla,Vanilla reparieren
Restarting...,Neustarten...
Language,Sprache
Automatic region,Automatische Region
English,Englisch
,
[center][wave amp=36]Starting up...,[center][wave amp=36]Starten...
