en,es
Vanilla,Vanilla
Mod Gallery,Galería de Mods
Storage Usage,Almacenamiento
Settings,Ajustes
,
Played for {time} {unit}.,Has jugado {time} {unit}.
minute,minuto
minutes,minutos
hour,hora
hours,horas
Played for a few seconds.,Has jugado unos cuantos segundos.
Never played.,Nunca jugado.
Subscribe for updates,Suscribir a actualizaciones
Install,Instalar
Uninstall,Desinstalar
Launch,Ejecutar
Browse files,Ver archivos
Never updated,Nunca actualizado
Loading...,Cargando...
Closing game...,Cerrando juego...
Based on version {version}.,Basado en la versión {version}.
Kill process,Matar proceso
No data!,¡Sin info!
Anonymous,Anónimo
,
Search:,Buscar:
Mod name...,Nombre del mod...
Sort:,Ordenar:
Alphabetically,Alfabéticamente
By most played,Por más jugado
By recently updated,Por actualización reciente
Only installed,Sólo instalados
Only favourites,Sólo favoritos
No results!,¡Sin resultados!
[center][img]res://audiovisual/search-delete.png[/img]    Try resetting the filters above...,[center][img]res://audiovisual/search-delete.png[/img]    Intenta quitar los filtros de arriba...
,
{count} install,{count} instalado
{count} installs,{count} instalados
Find in gallery,Ver en galería
,
"A simple way to keep your mods organized and up to date.

[color=#ffffff8b]by vlco_o - aka vic[/color]","Una manera sencilla de mantener tus mods organizados y actualizados.

[color=#ffffff8b]por vlco_o (vic)[/color]"
by {name},por {name}
Use list view for mod gallery,Ver la galería de mods como una lista
Show all platforms,Mostrar todas las plataformas
Auto subscribe to updates,Suscribir auto. a actualizaciones
Theme colour,Color de tema
Open last viewed tab on restart,Abrir la última pestaña al reiniciar
Discord Game Activity (auto),Estado de Actividad Discord (auto.)
Hide window when launching a mod,Ocultar ventana al ejecutar mod
'Vanilla' tab,Pestaña 'Vanilla'
[No change],[Sin cambios]
Choose mod...,Elegir mod...
Advanced,Avanzado
Install location,Ubicación para las instalaciones
Choose folder...,Elegir carpeta...
Extra args for {extension},Argumentos extra para {extension}
Troubleshooting,Resolución de problemas
Refresh DB,Refrescar BBDD
Uninstall all mods,Desinstalar todo
Show logs,Mostrar logs
Fix vanilla,Arreglar vanilla
Restarting...,Reiniciando...
Language,Idioma
