en,fr
Vanilla,Vanille
Mod Gallery,Galerie de mods
Storage Usage,Utilisation du stockage
Settings,Paramètres
,
Played for {time} {unit}.,Joué pendant {time} {unit}.
minute,minute
minutes,minutes
hour,heure
hours,heures
Played for a few seconds.,Joué pendant quelques secondes.
Never played.,Jamais joué.
Subscribe for updates,Abonnez-vous pour recevoir des mises à jour
Install,Installer
Uninstall,Désinstaller
Launch,Lancement
Browse files,Parcourir les fichiers
Never updated,Jamais mis à jour
Loading...,Chargement...
Closing game...,Jeu de clôture...
Based on version {version}.,Basé sur la version {version}.
Kill process,Processus de mise à mort
No data!,Aucune donnée !
Anonymous,Anonyme
,
Search:,Recherche:
Mod name...,Nom du mod...
Sort:,Trier:
Alphabetically,Alphabétiquement
By most played,Par le plus joué
By recently updated,Par récemment mis à jour
Only installed,Installé uniquement
Only favourites,Uniquement les favoris
No results!,Aucun résultat !
[center][img]res://audiovisual/search-delete.png[/img]    Try resetting the filters above...,[center][img]res://audiovisual/search-delete.png[/img] Essayez de réinitialiser les filtres ci-dessus...
,
{count} install,{count} installer
{count} installs,{count} installations
Find in gallery,Trouver dans la galerie
,
"A simple way to keep your mods organized and up to date.

[color=#ffffff8b]by vlco_o - aka vic[/color]","Un moyen simple de garder vos mods organisés et à jour.

[color=#ffffff8b]par vlco_o - alias vic[/color]"
by {name},par {nom}
Use list view for mod gallery,Utiliser la vue liste pour la galerie de mods
Show all platforms,Afficher toutes les plateformes
Auto subscribe to updates,Abonnez-vous automatiquement aux mises à jour
Theme colour,Couleur du thème
Open last viewed tab on restart,Ouvrir le dernier onglet consulté au redémarrage
Discord Game Activity (auto),Activité de jeu Discord (auto)
Hide window when launching a mod,Masquer la fenêtre lors du lancement d'un mod
'Vanilla' tab,Onglet « Vanille »
[No change],[Aucun changement]
Choose mod...,Choisissez le mod...
Advanced,Avancé
Install location,Emplacement d'installation
Choose folder...,Choisir un dossier...
Extra args for {extension},Arguments supplémentaires pour {extension}
Troubleshooting,Dépannage
Refresh DB,Actualiser la base de données
Uninstall all mods,Désinstaller tous les mods
Show logs,Afficher les journaux
Fix vanilla,Réparer la vanille
Restarting...,Redémarrage...
Language,Langue
Automatic region,Région automatique
English,Anglais
,
[center][wave amp=36]Starting up...,[centre][wave amp=36]Démarrage...
[center][img width=16 color=#ffffff8b]res://audiovisual/loading.png[/img]   Checking for updates,[center][img width=16 color=#ffffff8b]res://audiovisual/loading.png[/img] Vérification des mises à jour
[center][wave amp=36]Installing mod...,[centre][wave amp=36]Installation du mod...
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Please hold,[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img] Veuillez patienter
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   {count} out of {total} MB downloaded,[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img] {count} sur {total} Mo téléchargés
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Extracting files,[centre][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img] Extraction des fichiers
,
Can't install game!,Impossible d'installer le jeu !
Game currently not available.,Jeu actuellement indisponible.
Something went wrong,Quelque chose s'est mal passé
Some info might be out of date.,Certaines informations peuvent être obsolètes.
DB server unreachable.,Serveur de base de données inaccessible.
Please try again later!,Veuillez réessayer plus tard !
